match_id,video_name,extension_name,event,tournament_id,round,date,set_count,duration,win_A,win_B,lose_C,lose_D,first_set_downcourt,homography_matrix,upleft_x,upright_x,downleft_x,downright_x,upleft_y,upright_y,downleft_y,downright_y,video_check,rally_video_check,graph_check
1,SUKAMULJO_GIDEON_HOKI_KOBAYASHI_BWF_World_Tour_2021_Finals,.mp4,1,1,Finals,2022-06-01,2,61,2,1,3,4,1,"[[3.4128264073967465, 2.1801236875366956, -1978.107009405909], [0.10222453510458233, 18.42699826983047, -5228.155314599641], [7.637736345990436e-05, 0.012123691322575042, 1.0]]",421.0,857.8,222.4,1065.2,307.2,304.8,672.8,668.8,1,1,1
2,KIM_KIM_LIU_OU_GWANGJU_YONEX_Korea_Masters_2022_Finals,.mp4,1,2,Finals,2022-04-17,2,37,5,6,7,8,1,"[[1.3945073744068486, 0.7235631940804904, -688.2823729691494], [-0.00739222104927981, 7.28042525655228, -2012.3255338023334], [8.079857675552987e-06, 0.004032462989004622, 1.0]]",377.4,880.6,213.4,1053.6,307.6,308.2,679.6,682.4,1,1,1
3,WANG_HUANG_OU_HUANG_GWANGJU_YONEX_Korea_Masters_2022_Finals,.mp4,3,2,Finals,2022-04-17,2,44,10,9,11,8,1,"[[1.368086645961569, 0.7136544916551633, -671.6152446833172], [-0.02123397538780799, 7.190102218866784, -1982.0892875370682], [-2.3379359187824894e-05, 0.003982942153535191, 1.0]]",374.2,877.4,209.2,1049.4,307.6,309.0,680.2,680.8,1,1,1
4,KIM_KONG_BAEK_LEE_GWANGJU_YONEX_Korea_Masters_2022_Finals,.mp4,2,2,Finals,2022-04-17,2,54,13,12,14,15,0,"[[1.3144176875095486, 0.6874229767341224, -642.2008733145883], [-0.01913968842429016, 7.142195429805126, -1856.0250590145934], [-2.3629245568037957e-05, 0.00398293493213367, 1.0]]",374.0,877.6,209.8,1051.4,307.4,308.6,680.8,680.8,1,1,1
5,ALFIAN_ARDIANTO_LIANG_WANG_DAIHATSU_Indonesia_Masters_2022_Finals,.mp4,1,3,Finals,2022-06-12,2,36,16,17,19,18,0,"[[1.5373038371601317, 0.6655617139970934, -802.1168258877335], [-0.013129641182294849, 6.431804504303463, -1551.498869990092], [-1.1510544606305043e-05, 0.003675563093109781, 1.0]]",438.6,843.6,296.8,988.6,273.2,274.0,658.2,659.0,1,1,1
6,LIANG_WANG_SUKAMULJO_GIDEON_DAIHATSU_Indonesia_Masters_2022_Semifinals,.mp4,1,3,Semi-finals,2022-06-11,2,33,19,18,2,1,0,"[[1.5573733896095519, 0.6789253402382057, -815.4992974842665], [-0.009690040188208928, 6.527490000670644, -1585.8966352778302], [-5.728654117601743e-06, 0.003734512710127637, 1.0]]",439.0,844.0,296.4,988.8,274.6,275.2,658.8,659.8,1,1,1
7,ZHENG_HUANG_GICQUEL_DELRUE_DAIHATSU_Indonesia_Masters_2022_Finals,.mp4,3,3,Finals,2022-06-12,2,38,20,11,21,22,0,"[[1.5458761268559398, 0.6720814401496495, -807.4215187598494], [-0.016242136058745013, 6.476869150834237, -1561.5701964797506], [-1.1504151676562503e-05, 0.003707587791660278, 1.0]]",438.6,843.2,296.4,988.4,273.2,274.2,657.6,659.0,1,1,1
8,YUKI_FUKUSHIMA_SAYAKA_HIROTA_LEE_CHIA_HSIN_TENG_CHUN_HSUN_Asia_Championships_2023_Round_of_32,.mp4,2,4,Round-of-32,2023-04-26,2,37,23,24,25,26,1,"[[1.1159271861666418, 0.6213113478166263, -576.4850290299563], [-0.01388761141751857, 5.127033791703904, -1259.6763885331225], [3.417516502076377e-05, 0.002738721305114737, 1.0]]",403.0,907.8,203.2,1023.6,281.6,283.4,688.6,699.8,1,1,1
9,GOH_SOON_HUAT_LAI_SHEVON_JEMIE_YE_HONG_WEI_LEE_CHIA_HSIN_Asia_Championships_2023_Round_of_32,.mp4,3,4,Round-of-32,2023-04-25,3,51,27,28,29,25,1,"[[1.7059310876525935, 0.7773976362315611, -838.1775944968819], [-0.04488804934777202, 10.023702992946038, -2824.5850902167595], [-6.249903704407293e-05, 0.00631170683903958, 1.0]]",395.4,930.2,254.0,1241.6,313.0,315.2,710.8,710.0,1,1,1
10,BAEK_LEE_JOLLY_PULLELA_YONEX_All_England_Open_2023_Semi-finals,.mp4,2,5,Semi-finals,2023-03-18,2,46,14,33,34,35,1,"[[2.6334991075682974, 1.3826064290919193, -1490.542486128955], [-0.0003766652998698857, 15.33060183422197, -5633.495885399656], [-3.7666528032744064e-06, 0.007563873477383839, 1.0]]",400.2,870.8,270.8,1000.4,393.4,393.4,682.6,682.4,1,1,1
