player_id,name,last_name,gender,handedness,birth,height,nationality
1,Marcus Fernaldi GIDEON,GIDEON,Male,Right,1991-03-09,168,Indonesia
2,Kevin Sanjaya SUKAMULJO,SUKAMULJO,Male,Right,1995-08-02,170,Indonesia
3,Takuro HOKI,HOKI,Male,Right,1995-08-14,166,Japan
4,Yugo KOBAYASHI,KOBAYASHI,Male,Left,1995-07-10,175,Japan
5,KIM Gi Jung,KIM,Male,Right,1990-08-14,179,Korea
6,KIM Sa Rang,KIM,Male,Right,1989-08-22,178,Korea
7,LIU Yu Chen,LIU,Male,Right,1995-07-25,193,China
8,OU Xuan Yi,OU,Male,Right,1994-01-23,189,China
9,WANG Yi Lyu,WANG,Male,Right,1994-11-08,185,China
10,HUANG Dong Ping,HUANG,Female,Right,1995-01-20,165,China
11,HUANG Ya Qiong,HUANG,Female,Right,1994-02-28,165,China
12,KONG Hee Yong,KONG,Female,Right,1996-12-11,166,Korea
13,KIM So Yeong,KIM,Female,Right,1992-07-09,173,Korea
14,BAEK Ha Na,BAEK,Female,Right,2000-09-22,164,Korea
15,LEE Yu Lim,LEE,Female,Right,2000-01-27,161,Korea
16,Fajar ALFIAN,ALFIAN,Male,Right,1996-03-07,175,Indonesia
17,Muhammad Rian ARDIANTO,ARDIANTO,Male,Right,1996-02-13,172,Indonesia
18,WANG Chang,WANG,Male,Right,2001-05-07,180,China
19,LIANG Wei Keng,LIANG,Male,Right,2000-11-30,176,China
20,ZHENG Si Wei,ZHENG,Male,Right,1997-02-26,175,China
21,Thom GICQUEL,GICQUEL,Male,Right,1999-01-12,186,France
22,Delphine DELRUE,DELRUE,Female,Right,1998-11-06,170,France
23,Fukushima Yuki,Fukushima,Female,Right,1993-05-06,164,Japan
24,Hirota Sayaka,Hirota,Female,Right,1994-08-01,170,Japan
25,Lee Chia Hsin,Lee,Female,Right,1997-05-14,171,Taiwan
26,Teng Chun Hsun,Teng,Female,Right,2000-09-27,165,Taiwan
27,Goh Soon Huat,Goh,Male,Right,1990-06-27,179,Malaysia
28,LAI SHEVON JEMIE,LAI,Female,Left,1993-08-08,169,Malaysia
29,Ye Hong Wei,Ye,Male,Left,1999-11-01,185,Taiwan
33,Lee So Hee,Lee,Female,Right,1994-06-14,171,Korea
34,Treesa Jolly,Jolly,Female,Right,2003-05-27,176,India
35,Gayatri Gopichand,Gopichand,Female,Right,2003-05-04,155,India
36,Zhang Shuxian,Zhang,Female,Right,2000-01-02,169,China
37,Zheng Yu,Zheng,Female,Right,1996-02-07,175,China
38,Apriyani Rahayu,Rahayu,Female,Right,1998-04-29,163,Indonesia
39,Siti Fadia Silva Ramadhanti,Ramadhanti,Female,Right,2000-11-16,157,Indonesia
40,Chen Qing Chen,Chen,Female,Right,1994-06-23,164,China
41,Jia Yi Fan,Jia,Female,Left,1997-06-29,170,China
42,Matsuyama Nami,Matsuyama,Female,Right,1998-06-28,167,Japan
43,Shida Chiharu,Shida,Female,Right,1997-04-29,162,Japan
44,Pearly Tan Koong Le,Pearly Tan,Female,Right,2000-03-14,164,Malaysia
45,Thinaah Muralitharan,Muralitharan,Female,Right,1998-01-03,164,Malaysia
46,Kim Hye Jeong,Kim,Female,Right,1998-01-03,161,Korea
47,Jeong Na Eun,Jeong,Female,Right,2000-06-27,167,Korea
48,Jongkolphan Kititharakul,Kititharakul,Female,Right,1993-03-01,171,Thailand
49,Rawinda Prajongjai,Prajongjai,Female,Right,1993-07-29,164,Thailand
50,Benyapa Aimsaard,Aimsaard,Female,Right,2002-08-29,175,Thailand
51,Nuntakarn Aimsaard,Aimsaard,Female,Right,1999-05-23,170,Thailand
52,Aaron CHIA,CHIA,Male,Right,1997-02-24,168,Malaysia
53,SOH Wooi Yik,SOH,Male,Right,1998-02-17,185,Malaysia
54,Satwiksairaj Rankireddy,Rankireddy,Male,Right,2000-08-13,184,India
55,Chirag Shetty,Shetty,Male,Right,1997-07-04,187,India
56,Yeremia Erich Yoche Yacob RAMBITAN,RAMBITAN,Male,Right,1999-10-14,175,Indonesia
57,Pramudya KUSUMAWARDANA,KUSUMAWARDANA,Male,Right,2000-12-12,173,Indonesia
58,KANG Min Hyuk,KANG,Male,Right,1999-02-17,183,Korea
59,SEO Seung Jae,SEO,Male,Left,1997-09-04,182,Korea
60,Matsumoto Mayu,Matsumoto,Female,Right,1996-08-07,177,Japan
61,Nagahara Wakana,Nagahara,Female,Right,1996-01-09,169,Japan
62,LEE Yang,LEE,Male,Right,1995-08-12,177,Taiwan
63,WANG Chi Lin,WANG,Male,Right,1995-01-18,188,Taiwan
64,KOGA Akira,KOGA,Male,Right,1994-03-08,166,Japan
65,SAITO Taichi,SAITO,Male,Right,1993-04-21,171,Japan
66,LIU Sheng Shu,LIU,Female,Right,2004-04-08,175,China
67,TAN Ning,TAN,Female,Right,2003-04-03,168,China
68,IWANAGA Rin,IWANAGA,Female,Right,1999-05-21,166,Japan
69,NAKANISHI Kie,NAKANISHI,Female,Left,1995-12-24,170,Japan
70,Dechapol PUAVARANUKROH,PUAVARANUKROH,Male,Right,1997-05-20,170,Thailand
71,Sapsiree TAERATTANACHAI,TAERATTANACHAI,Female,Right,1992-04-18,170,Thailand
72,CHEN Tang Jie,CHEN,Male,Right,1998-01-05,180,Malaysia
73,TOH Ee Wei,TOH,Female,Right,2000-09-12,162,Malaysia
74,CHAE Yu Jung,CHAE,Female,Left,1995-05-09,163,Korea
75,Mathias CHRISTIANSEN,CHRISTIANSEN,Male,Right,1994-02-20,186,Denmark
76,Alexandra BØJE,BØJE,Female,Right,1999-12-06,173,Denmark
77,LEE Jhe Huei,LEE,Male,Right,1994-03-20,180,Taiwan
78,YANG Po Hsuan,YANG,Male,Right,1996-08-23,186,Taiwan
79,TANG Chun Man,TANG,Male,Left,1995-03-20,178,Hong Kong
80,TSE Ying Suet,TSE,Female,Left,1991-11-09,165,Hong Kong
81,HOKI Takuro,HOKI,Male,Right,1995-08-14,166,Japan
82,KOBAYASHI Yugo,KOBAYASHI,Male,Left,1995-07-10,175,Japan
83,Lucas CORVEE,CORVEE,Male,Right,1993-06-09,192,France
84,Ronan LABAR,LABAR,Male,Right,1989-05-03,191,France
85,ASTRUP Kim,ASTRUP,Male,Left,1992-03-06,185,Denmark
86,RASMUSSEN Anders Skaarup,RASMUSSEN,Male,Left,1989-02-15,189,Denmark
87,CHIU Vinson,CHIU,Male,Left,1998-08-08,182,United States
88,YUAN Joshua,YUAN,Male,Left,2003-07-25,185,United States
89,JIANG Zhen Bang,JIANG,Male,Right,2001-05-28,184,China
