rally_id,set_id,rally_num,start_frame,end_frame,current_win_score,current_lose_score,serve_player,score_team,score_reason,lose_reason,shot_count,land_x,land_y,comment,rally_video_check,fault_player
1,1,1,11008,11134,0,1,5,1.0,對手未過網,未過網,,847.0,329.0,0,0,6.0
2,1,2,11477,11824,1,1,8,0.0,落地致勝,對手落地致勝,,591.0,588.0,0,0,7.0
3,1,3,12619,12683,1,2,6,1.0,落地致勝,對手落地致勝,,852.0,385.0,0,0,6.0
4,1,4,13115,13395,2,2,7,0.0,落地致勝,對手落地致勝,,952.0,529.0,0,0,7.0
5,1,5,14015,14051,2,3,5,1.0,對手掛網,掛網,,787.0,442.0,0,0,5.0
6,1,6,14525,14729,2,4,8,1.0,對手出界,出界,,210.0,497.0,0,0,6.0
7,1,7,15207,15292,2,5,8,1.0,對手出界,出界,,1039.0,581.0,0,0,5.0
8,1,8,15738,15908,3,5,8,0.0,對手出界,出界,,343.0,322.0,0,0,8.0
9,1,9,16482,16641,3,6,6,1.0,落地致勝,對手落地致勝,,690.0,388.0,0,0,6.0
10,1,10,17045,17322,3,7,7,1.0,落地致勝,對手落地致勝,,384.0,312.0,0,0,5.0
11,1,11,18228,18343,4,7,7,0.0,對手掛網,掛網,,818.0,452.0,0,0,7.0
12,1,12,18959,19263,5,7,5,0.0,對手未過網,未過網,,727.0,455.0,0,0,8.0
13,1,13,19965,19997,5,8,5,1.0,對手掛網,掛網,,711.0,432.0,0,0,5.0
14,1,14,20440,20496,6,8,8,0.0,對手未過網,未過網,,520.0,456.0,0,0,8.0
15,1,15,20889,21282,6,9,6,1.0,對手出界,出界,,948.0,685.0,0,0,6.0
16,1,16,21853,21918,7,9,7,0.0,落地致勝,對手落地致勝,,844.0,610.0,0,0,7.0
17,1,17,22482,22607,8,9,5,0.0,落地致勝,對手落地致勝,,447.0,545.0,0,0,8.0
18,1,18,23447,23674,9,9,5,0.0,對手出界,出界,,906.0,326.0,0,0,8.0
19,1,19,24292,24517,10,9,5,0.0,對手出界,出界,,921.0,315.0,0,0,8.0
20,1,20,25159,25444,10,10,5,1.0,落地致勝,對手落地致勝,,849.0,395.0,0,0,5.0
21,1,21,26194,26263,11,10,8,0.0,對手出界,出界,,346.0,331.0,0,0,7.0
22,1,22,28672,28855,12,10,6,0.0,對手掛網,掛網,,822.0,458.0,0,0,7.0
23,1,23,29321,29355,13,10,6,0.0,對手出界,出界,,833.0,303.0,0,0,8.0
24,1,24,29791,30299,14,10,6,0.0,對手出界,出界,,897.0,317.0,0,0,8.0
25,1,25,31191,31228,15,10,6,0.0,落地致勝,對手落地致勝,,468.0,573.0,0,0,8.0
26,1,26,31709,31868,15,11,6,1.0,落地致勝,對手落地致勝,,615.0,374.0,0,0,6.0
27,1,27,32382,32415,15,12,7,1.0,對手掛網,掛網,,713.0,442.0,0,0,6.0
28,1,28,32951,33040,16,12,7,0.0,對手出界,出界,,1024.0,363.0,0,0,7.0
29,1,29,33490,34451,17,12,5,0.0,對手出界,出界,,349.0,330.0,0,0,8.0
30,1,30,35185,35233,17,13,5,1.0,對手掛網,掛網,,567.0,437.0,0,0,6.0
31,1,31,36318,36550,17,14,8,1.0,對手掛網,掛網,,828.0,431.0,0,0,5.0
32,1,32,37298,37768,18,14,8,0.0,對手犯規,犯規,,418.0,602.0,0,0,7.0
33,1,33,38605,38671,19,14,6,0.0,對手未過網,未過網,,459.0,457.0,0,0,8.0
34,1,34,39321,39429,20,14,6,0.0,對手未過網,未過網,,527.0,422.0,0,0,8.0
35,1,35,39829,39868,21,14,5,0.0,對手掛網,掛網,,601.0,454.0,0,0,8.0
36,2,1,43527,43527,1,0,5,0.0,,,,0.0,0.0,0,0,
37,2,2,44103,44128,1,1,5,1.0,對手掛網,掛網,,639.0,452.0,0,0,5.0
38,2,3,44564,44643,1,2,8,1.0,對手出界,出界,,357.0,315.0,0,0,6.0
39,2,4,45033,45193,2,2,8,0.0,對手掛網,掛網,,446.0,435.0,0,0,8.0
40,2,5,45742,45774,3,2,6,0.0,對手掛網,掛網,,595.0,435.0,0,0,8.0
41,2,6,46235,46323,3,3,6,1.0,對手掛網,掛網,,395.0,450.0,0,0,5.0
42,2,7,46719,47010,3,4,7,1.0,落地致勝,對手落地致勝,,493.0,582.0,0,0,6.0
43,2,8,47532,47647,4,4,7,0.0,對手掛網,掛網,,835.0,443.0,0,0,8.0
44,2,9,48791,48874,4,5,5,1.0,對手掛網,掛網,,635.0,456.0,0,0,6.0
45,2,10,49725,49793,5,5,8,0.0,對手掛網,掛網,,604.0,445.0,0,0,8.0
46,2,11,50192,50192,6,5,6,0.0,,,,0.0,0.0,0,0,
47,2,12,50682,50995,6,6,6,1.0,落地致勝,對手落地致勝,,995.0,646.0,0,0,5.0
48,2,13,51589,51695,6,7,7,1.0,對手落點判斷失誤,落點判斷失誤,,375.0,673.0,0,0,5.0
49,2,14,52180,52294,7,7,7,0.0,落地致勝,對手落地致勝,,695.0,373.0,0,0,7.0
50,2,15,52885,52949,8,7,5,0.0,對手未過網,未過網,,612.0,473.0,0,0,7.0
51,2,16,53466,53576,9,7,5,0.0,對手出界,出界,,1037.0,633.0,0,0,8.0
52,2,17,55114,55346,10,7,5,0.0,落地致勝,對手落地致勝,,418.0,339.0,0,0,7.0
53,2,18,56213,56445,10,8,5,1.0,對手出界,出界,,918.0,323.0,0,0,6.0
54,2,19,57134,57678,11,8,8,0.0,對手出界,出界,,382.0,693.0,0,0,7.0
55,2,20,60105,60220,11,9,6,1.0,對手出界,出界,,691.0,301.0,0,0,6.0
56,2,21,60656,60717,12,9,7,0.0,對手掛網,掛網,,605.0,447.0,0,0,8.0
57,2,22,61257,61452,12,10,5,1.0,落地致勝,對手落地致勝,,408.0,494.0,0,0,6.0
58,2,23,62173,62271,13,10,8,0.0,落地致勝,對手落地致勝,,614.0,310.0,0,0,8.0
59,2,24,62815,62899,13,11,6,1.0,對手掛網,掛網,,762.0,452.0,0,0,5.0
60,2,25,63485,63528,14,11,7,0.0,對手出界,出界,,1067.0,500.0,0,0,7.0
61,2,26,64397,64846,14,12,5,1.0,對手出界,出界,,774.0,304.0,0,0,6.0
62,2,27,66066,66366,15,12,8,0.0,對手出界,出界,,446.0,684.0,0,0,8.0
63,2,28,67145,67227,15,13,6,1.0,對手掛網,掛網,,813.0,449.0,0,0,5.0
