set_id,match_id,set_num,win_score,lose_score,set_win
1,2,1,21,14,0
2,2,2,21,16,0
3,4,1,21,17,0
4,4,2,21,12,0
5,5,1,21,10,0
6,5,2,21,17,0
7,6,1,21,17,0
8,6,2,21,10,0
9,7,1,21,13,0
10,7,2,21,14,0
11,8,1,21,11,0
12,8,2,21,12,0
13,9,1,21,15,1
14,9,2,22,20,0
15,9,3,21,15,0
16,11,1,21,11,0
17,11,2,21,14,1
18,11,3,21,14,0
19,12,1,21,19,1
20,12,2,22,20,0
21,12,3,24,22,0
22,13,1,24,22,0
23,13,2,21,13,0
24,14,1,21,19,0
25,14,2,21,15,0
26,15,1,22,20,0
27,15,2,21,8,1
28,15,3,21,17,0
29,10,1,21,10,0
30,10,2,21,10,0
31,16,1,21,13,1
32,16,2,21,19,0
33,16,3,21,16,0
34,17,1,21,19,0
35,17,2,23,21,0
36,18,1,21,12,0
37,18,2,21,12,0
38,19,1,21,13,0
39,19,2,21,17,0
40,20,1,21,17,0
41,20,2,21,7,0
42,22,1,21,18,0
43,22,2,21,19,0
44,23,1,21,12,0
45,23,2,21,14,0
46,21,1,21,16,0
47,21,2,22,20,1
48,21,3,22,20,0
49,24,1,21,17,0
50,24,2,21,18,0
51,26,1,21,18,1
52,26,2,21,19,0
53,26,3,21,18,0
54,25,1,21,12,1
55,25,2,23,21,0
56,25,3,21,13,0
61,27,1,21,16,0
62,27,2,21,12,1
63,27,3,21,13,0
64,28,1,21,13,0
65,28,2,21,10,0
66,29,1,22,20,0
67,29,2,21,10,0
68,30,1,21,15,0
69,30,2,25,23,1
70,30,3,21,16,0
71,31,1,21,18,0
72,31,2,21,17,1
73,31,3,21,12,0
74,32,1,21,11,0
75,32,2,21,16,0
76,33,1,21,13,0
77,33,2,21,16,0
78,34,1,21,12,0
79,34,2,21,19,1
80,34,3,24,22,0
81,35,1,21,10,0
82,35,2,21,11,1
83,35,3,21,11,0
84,36,1,21,18,1
85,36,2,21,15,0
86,36,3,21,19,0
87,37,1,21,16,0
88,37,2,21,12,0
89,38,1,21,17,0
90,38,2,21,10,0
91,39,1,21,14,0
92,39,2,24,22,0
93,40,1,21,17,0
94,40,2,21,18,1
95,40,3,21,13,0
96,41,1,21,16,0
97,41,2,21,15,0
98,42,1,21,17,0
99,42,2,21,18,1
100,42,3,21,16,0
101,43,1,21,13,0
102,43,2,21,13,0
103,44,1,21,16,0
104,44,2,21,10,0
105,45,1,21,17,0
106,45,2,21,14,0
107,46,1,21,13,0
108,46,2,21,16,0
109,47,1,24,22,0
110,47,2,21,14,0
111,48,1,21,13,0
112,48,2,21,13,0
113,49,1,24,22,0
114,49,2,22,20,0
115,50,1,21,18,0
116,50,2,22,20,0
117,51,1,22,20,0
118,51,2,21,12,0
119,52,1,23,21,0
120,52,2,21,13,0
121,53,1,21,11,0
122,53,2,21,18,0
123,54,1,21,9,0
124,54,2,21,17,0
125,55,1,21,19,0
126,55,2,21,19,0
127,56,1,21,13,0
128,56,2,23,21,0
129,57,1,21,17,0
130,57,2,21,16,0
133,59,1,21,16,0
134,59,2,21,9,0
137,61,1,21,15,0
138,61,2,21,14,0
139,62,1,21,19,0
140,62,2,21,17,0
141,63,1,21,16,0
142,63,2,21,18,0
