shot_id,rally_id,shot_num,time,start_frame_num,end_frame_num,player,ball_type,backhand,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,hit_x,hit_y,return_x,return_y,hit_height,return_height,flaw,A,B,C,D,Win,Lose,current_win_score,current_lose_score,score_team,lose_reason,set_num
1,1,1,00:06:06,11008,11023,5.0,發短球,1,28.63984734,94.30079233,31.75121742,113.67710019,39.85875701,42.90736527,26.51413048,27.07478513,-139.84689655,547.81822498,39.20412419,56.27824596,2,2,0,5,6,7,8,3,4,0,1,4.0,未過網,1.0
2,1,2,00:06:07,11023,11036,7.0,推撲球,1,34.00137795,88.40761999,32.78076956,114.21355963,39.44327361,50.41930491,27.49235413,28.19857202,39.20412419,56.27824596,49.87595004,114.32443628,2,2,0,5,6,7,8,3,4,0,1,4.0,未過網,1.0
3,1,3,00:06:07,11036,11068,6.0,挑球,1,36.69009487,87.09229008,36.82591516,111.60902348,42.07692637,54.20235613,28.9064314,26.81946411,49.87595004,114.32443628,52.38154747,12.53879323,2,1,0,5,6,7,8,3,4,0,1,4.0,未過網,1.0
4,1,4,00:06:08,11068,11080,8.0,殺球,0,24.75965182,109.45596593,48.76103736,122.48008247,45.0692948,37.68181993,44.85214647,8.42598864,52.38154747,12.53879323,59.11508432,113.32743783,1,2,0,5,6,7,8,3,4,0,1,4.0,未過網,1.0
5,1,5,00:06:09,11080,11094,6.0,平球,1,24.16023417,111.52588714,46.77271105,118.06180106,39.87857251,33.17175837,53.17764863,6.65760869,59.11508432,113.32743783,36.87341224,37.30704664,2,1,0,5,6,7,8,3,4,0,1,4.0,未過網,1.0
6,1,6,00:06:09,11094,11104,7.0,推撲球,0,24.89458095,115.227577,46.02103294,119.14716948,36.48645133,35.80025341,49.66427032,8.23941927,36.87341224,37.30704664,49.39080869,117.53625334,1,2,0,5,6,7,8,3,4,0,1,4.0,未過網,1.0
7,1,7,00:06:10,11104,11134,6.0,平球,1,23.98868348,114.688232,45.90533824,119.14643575,34.72734024,37.59122763,43.12937786,8.6428695,49.39080869,117.53625334,55.96062601,121.96778493,2,2,0,5,6,7,8,3,4,0,1,4.0,未過網,1.0
8,2,1,00:06:22,11477,11499,8.0,發短球,1,30.60600587,111.04722304,41.95087169,93.46689296,33.84664888,26.86431008,27.31864632,45.36277925,-139.84689655,547.81822498,35.37258267,78.48978519,2,0,0,5,6,7,8,3,4,1,1,3.0,對手落地致勝,1.0
9,2,2,00:06:23,11499,11520,6.0,網前小球,0,30.71131003,108.46896521,40.30260266,86.23568241,28.02901963,45.69305062,32.53272697,27.12937087,35.37258267,78.48978519,28.56912864,44.72758381,2,2,0,5,6,7,8,3,4,1,1,3.0,對手落地致勝,1.0
10,2,3,00:06:24,11520,11559,8.0,挑球,0,30.26887027,112.08870996,30.02009395,83.11151019,31.88853356,28.79979492,20.89599855,43.06176567,28.56912864,44.72758381,4.11539745,119.98043324,2,1,0,5,6,7,8,3,4,1,1,3.0,對手落地致勝,1.0
