tournament_id,name,level,location
1,BWF World Tour Finals 2021,World Tour Finals,Bali
2,GWANGJU YONEX Korea Masters 2022,Super 300,Gwangju
3,DAIHATSU Indonesia Masters 2022,Super 500,Jakarta
4,Asia Championship 2023,Super 1000,Dubai
5,YONEX All England Open 2023,Super 1000,England
6,YONEX German Open 2023,Super 300,Mülheim
7,Perodua Malaysia Masters 2023,Super 500,Malaysia
8,Thailand Open 2023,Super 500,Bangkok
9,VICTOR China Open 2023,Super 1000,Changzhou
10,KAPAL API GROUP Indonesia Open 2023,Super 1000,Jakarta
11,DAIHATSU Japan Open 2023,Super 750,Tokyo
12,KAPAL API GROUP Indonesia Open 2023,Super 1000,Jakarta
13,PETRONAS Malaysia Open 2024,Super 1000,Kaula Lumpur
14,YONEX French Open 2024,Super 750,Paris
15,YONEX SUNRISE India Open 2024,Super 750,New Delhi
16,YONEX Swiss Open 2024,Super 300,Basel
17,YONEX All England Open 2024,Super 1000,Birmingham
18,VICTOR Denmark Open 2023,Super 750,Odense
19,Paris Olympic Games,Others,Paris
20,DAIHATSU Japan Open 2024,Super 750,Yokohama
21,BWF World Tour Finals 2024,World Tour Finals,Hangzhou
22,YONEX All England Open 2025,Super 1000,Birmingham
23,PETRONAS Malaysia Open 2025,Super 1000,Kuala Lumpur
24,KFF Singapore Badminton Open 2025,Super 750,Singapore
25,KAPAL API Indonesia Open 2025,Super 1000,Indonesia
26,VICTOR China Open 2025,Super 1000,Changzhou
